Coordinates,Attribute1,Attribute2,Metadata_1,Metadata_2,Metadata_3,Metadata_4,Metadata_5,File
"((1, 5), (2, 5))",588,251.9812925170068,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((1, 5), (1, 6))",182,207.0054945054945,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((2, 1), (3, 1))",118,182.27966101694915,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((2, 1), (2, 2))",160,200.00416666666663,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((3, 5), (4, 5))",102,172.86274509803923,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((4, 4), (4, 5))",318,287.2264150943394,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((5, 4), (6, 4))",98,169.83673469387747,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((5, 5), (6, 5))",95,166.96842105263158,500,2,2000,2,20206010406040306020201040101010303050104060305040502040303050602050201060104040606050401050504040,board_n_1338.txt
"((0, 1), (1, 1))",10,196.5,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((0, 1), (0, 2))",9,166.66666666666666,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((0, 2), (1, 2))",12,215.83333333333334,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((0, 3), (0, 4))",9,176.66666666666666,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((0, 4), (0, 5))",11,211.8181818181818,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((2, 1), (3, 1))",9,172.22222222222223,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((3, 1), (4, 1))",9,154.44444444444446,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((3, 2), (4, 2))",1899,818.484335949582,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((4, 4), (5, 4))",13,230.0,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((5, 4), (5, 5))",19,289.42105263157896,500,2,2000,2,50504040104040304050402050106040206060403010205060301020104010405030406040505060506060105010302030,board_n_2143.txt
"((0, 2), (1, 2))",11,170.0,500,2,2000,2,60204060505040401010404050106060406040301020305030104040606010403010504050204050506060504010103040,board_n_172.txt
