random,greedy,offline,mcts_base,mcts_fixed_depth,combined
2080,1800,3780,4100,5260,9460
2040,3860,3360,6240,3220,3860
1800,2880,1800,10420,4860,4160
1440,7760,3080,3020,10980,7520
2260,1640,2940,3360,7360,4860
1800,2720,1800,4400,4980,14700
2280,5260,4340,6280,15900,4440
1720,4100,3800,5040,3680,3460
1920,3220,1800,4320,3440,5140
2540,4240,1800,3020,11040,4940
1920,11540,1440,4320,3120,2320
1320,10000,3720,2980,9760,2860
2460,2540,2380,10960,10960,16480
1320,3680,3200,4280,7660,2040
1320,2600,2740,13300,28280,9240
1560,2160,3780,11620,3020,5660
1680,2640,2520,3180,3860,3260
1800,1720,1440,1920,2400,3800
2080,2040,3520,3320,2620,1920
2640,5840,2760,7800,6840,6140
1320,2880,9120,8840,7760,10380
1200,2740,7400,3000,3320,3940
1440,3980,2620,8060,3140,4160
1440,4320,7280,10160,17460,2080
1920,4360,1440,8340,4740,1840
1440,5220,3860,4080,8800,4160
2320,2760,2660,19760,4800,3680
1920,1680,2520,1600,2620,5480
3700,5020,17280,4800,6460,7920
1960,3440,1560,3680,3720,2400
2740,2760,8000,2160,15360,10720
1440,2160,4080,4520,3740,7920
3320,2160,3260,2760,3760,3980
3240,4280,2160,9520,7680,3360
1680,3040,2040,8580,15560,4120
1680,5820,2980,9880,17960,15540
1440,3380,2620,2500,2260,3820
2200,8500,6280,8520,10060,6520
2980,2760,2400,10660,2560,14960
2760,2040,1680,3720,10460,21140
1440,2160,2640,4260,7960,3020
8020,1920,8440,3360,4540,8720
2140,6860,8300,2740,2520,7400
1440,7160,1840,13360,11100,10120
1920,2280,1320,2080,3240,8100
7360,15880,6020,11120,11180,9220
2400,4700,5760,5360,3560,15560
1320,5260,10900,3040,2680,3680
2320,2820,2860,11640,5240,4620
7160,5120,4180,10340,20320,9580
2800,4300,2800,14620,3980,12740
1320,3580,2280,4240,11300,4800
5200,2880,3360,9200,4460,6580
7120,10180,1320,14660,9320,9940
1680,2900,1560,5460,7480,1920
8060,1720,2040,11140,4520,4120
1440,3660,1680,4920,6060,4220
1560,2260,1320,4180,2800,4260
1800,1680,1800,4500,5480,7260
1560,2400,13240,8820,6840,20480
4080,7860,2500,2360,6180,3720
2980,3620,2300,1800,10260,7800
1680,2040,3120,9980,3620,5760
7000,4000,2280,6220,3700,5980
1440,2440,10000,5540,5820,7440
2740,7420,2560,3340,6460,5760
1680,2400,1800,10560,3440,4380
5040,3640,9820,17000,4840,11720
1800,5680,3120,5040,4420,8440
1560,1320,1680,8380,2400,1800
1840,9800,2080,1840,5080,4540
1320,3500,3600,3100,9900,14880
1440,11760,2880,18080,24100,9720
1440,4280,1560,1720,1800,6920
4120,3020,4320,22440,2740,10600
2860,2700,8420,11460,10040,3120
2760,6920,1800,18500,2720,3100
3360,1920,1560,3980,6040,10400
2940,4500,1440,10340,5160,3140
1320,4160,2260,5280,11640,6280
4880,17500,2040,6020,2640,1680
1560,2640,4320,9160,2720,6800
2040,3960,4760,12060,3820,4060
1920,5600,2300,7040,7500,4320
1560,4580,2180,9540,13620,1680
1560,2300,3020,5740,4020,7780
1320,2500,2900,7580,11280,9700
4720,2520,2280,8500,13360,4800
1560,2980,2760,3520,3960,3600
4640,4000,12040,5340,5780,3760
1680,4660,3100,15060,3240,4180
4800,2040,4560,9280,7280,5480
2040,2660,2400,9500,15380,13040
2920,3640,6260,4220,3200,7460
1920,4180,3560,13660,4320,3620
1680,1800,2280,7360,4180,3600
2360,3700,5440,4860,10500,12860
2520,1680,2280,1880,2200,2640
1440,2040,2780,1680,2840,2660
1320,1560,3000,3120,4380,13960
1360,10120,1960,5020,3720,2160
3560,2880,3780,2540,6960,6920
1320,5840,3680,7640,3560,2400
1440,11940,3960,3280,11960,30660
2040,2040,1600,7640,10620,2640
2540,4060,3360,8060,6600,4420
1560,2780,1560,5120,2580,3860
1920,3100,1320,3980,4980,3940
8220,4960,1320,8680,10880,6180
1920,4960,2520,10080,2560,3500
1560,6100,3720,13760,10220,1680
1920,2900,5540,4380,7420,12220
3080,3320,3100,2380,5160,5500
1320,2520,3080,4160,3020,4580
7000,3500,5100,21520,15440,4360
2160,3480,1560,13300,4940,3220
2040,1680,5540,3480,13240,2820
3080,3380,7520,14500,10320,23940
1560,7980,9960,8180,10280,16800
2540,2760,3240,6280,9960,3020
1920,3820,1560,7280,2500,2160
2060,3700,3980,3800,9140,16180
2500,4660,17060,8740,3460,4040
1920,3020,4600,15540,8000,8800
2320,8640,9040,5660,14400,4200
1440,4780,9280,6040,13100,4780
2300,2160,2040,15280,11140,3500
2760,8920,6680,2260,14900,3560
2740,5460,1440,6140,3080,3080
4760,5700,4720,5620,14160,4360
1920,4080,4540,17960,5020,6020
2260,3560,1440,7080,8180,3340
2000,7640,8640,11420,9040,9140
2380,2400,1560,4220,9740,3980
1440,2640,1440,1840,3340,3560
5520,2980,7000,5240,2620,5360
2160,8560,2400,2160,2640,4040
1560,3240,1960,1680,3340,3560
1680,3380,7940,5120,14320,9900
1720,4220,2400,4340,4300,5360
1320,3480,1920,3760,8080,5700
2380,9240,3480,3600,3020,2760
1920,4060,1440,4960,7060,7160
8560,3500,1800,7920,15540,1840
2020,1800,10560,2500,6320,3100
1560,3120,9160,4340,5120,9220
1320,7720,3300,8580,6720,3640
1680,2280,1480,17120,18920,2280
1720,4260,3620,2400,11380,8100
3700,8780,8600,7900,15660,10440
1600,2660,1920,4580,8060,4600
1200,4640,1800,2560,2980,8740
1800,2860,1560,17840,5000,8220
4060,7520,3980,1800,5540,11500
1680,6280,2280,4060,2820,14120
3700,4060,2420,2940,5840,5120
2920,4700,7380,15080,3280,3860
7320,4180,8620,3220,10940,36700
2140,2300,1320,3600,13120,3280
2660,3780,2780,4560,4500,4560
1320,2400,1440,1680,3620,5880
2860,2400,1680,14200,28360,5980
2660,6640,2040,27880,22280,8220
1440,2040,2540,7740,4500,2540
1920,3100,13120,11500,9140,17180
2040,2000,2620,4260,3840,7220
1800,6320,3480,9320,11980,22660
2040,2320,2780,7160,15080,3300
1840,2980,5100,7520,8100,8000
1440,3340,8920,14980,35980,15000
1440,3580,3080,5520,2620,2440
1920,2280,1200,3960,5720,4840
1440,3160,3340,4700,5480,8820
1200,2520,2980,6860,10800,6220
7000,2620,1840,4100,6360,6000
1560,21380,13540,12580,5280,11720
1560,2440,8280,8340,9680,2560
2040,4280,1960,2280,3080,3360
7820,1920,4880,16920,7320,7720
1200,1920,1920,4620,2160,9160
1680,3400,2260,3920,2160,4680
1920,2280,2880,1440,5360,3160
1320,3220,1920,16740,2520,6140
1320,3060,2280,4760,3020,8180
2960,2040,2040,2520,21420,3740
1560,3820,9620,8120,3120,2680
2420,2860,4260,5320,6840,4500
1920,9160,8860,1920,4740,4880
1680,4100,1920,3960,2860,4540
2140,4400,3320,19540,17180,11920
1940,4040,1680,11320,19440,12940
1680,5380,7120,11800,11960,9980
1360,3240,2520,6360,1800,4320
1680,3000,2660,1320,8100,3120
2180,1920,2160,3360,6140,1720
2040,1920,3420,3840,4380,21440
1440,2620,8480,3620,2860,3860
1560,1920,2040,1680,5040,7860
3040,12140,1440,2900,2640,5520
1320,3140,2160,8740,4540,7520
1440,1840,2620,2040,5980,9280
2060,2640,3100,2980,4620,6340
2480,8640,7700,14220,10500,11580
1920,3960,4720,4060,2760,1920
1680,2280,2860,18840,3760,11020
3600,1920,2280,2380,4600,21240
8460,2980,2040,9800,3220,13920
2620,3840,9180,4440,1480,10320
1720,1560,2400,17360,2640,3720
8300,3000,15380,17440,9540,3600
2600,2920,3280,4680,6340,5500
3240,4160,3360,4460,2400,7520
2040,4120,3220,2120,9700,2760
2780,1440,2040,3680,4040,3560
1800,1560,13220,2660,3480,8620
5040,2580,2040,3840,4120,3360
3480,2040,2780,12140,19220,3620
3340,3580,3380,3980,2500,4300
2200,2660,1800,11260,4160,7240
2540,2160,2040,3640,5740,3020
2880,3640,7580,12000,5280,4340
1440,2040,3140,33620,14700,16900
1800,7840,1920,2500,3260,4740
6680,5300,7760,6040,9640,4960
9300,8060,8540,17200,7820,30600
13000,13400,7240,7640,15260,19960
1200,1960,1920,9340,3700,3480
1560,3100,1560,12880,8300,13720
1320,5420,7920,8300,12440,2980
2040,3100,10340,4040,2760,2040
2140,2620,3140,3000,7520,7860
3320,2280,2080,4700,5220,6180
2780,2640,4800,9820,2860,6700
1440,2980,8520,15200,8620,8400
1920,2040,2280,3640,5060,4800
1320,2520,2280,3400,5740,3020
2040,2400,3540,5020,8460,3840
1680,4000,2200,2540,2740,4080
1920,5720,3560,2820,7600,12340
1440,2280,2360,6540,1800,1920
1920,2200,1480,9240,8980,4580
1680,2280,2640,3480,7600,4380
1680,2640,2400,4660,2280,2380
2540,7000,3300,2280,8080,4140
3340,6100,2880,7920,5660,10920
3380,3040,5420,5580,9620,4920
4060,8580,6920,8980,9360,8900
4200,1440,3740,3800,3120,8500
2280,2980,1920,4220,1960,4540
2520,2280,12440,8120,9220,35020
3100,1680,1440,9260,8580,2660
3000,2320,4920,9960,5480,3320
4680,2900,3680,4060,4180,4660
3260,3960,5140,3940,3800,11040
1680,3740,4120,3600,3500,10460
1560,2640,2040,3720,9480,14820
1680,3360,8260,8080,13300,2160
1440,2040,6800,2760,9980,3120
2160,2520,4480,10140,2060,3680
3020,3600,15600,4580,3160,4720
1320,2520,2160,3760,3720,2160
1800,3600,4640,5740,5340,3140
1560,3720,1560,7680,3020,11900
7560,2520,1680,2980,1680,2040
2540,2500,8200,3280,5000,5760
2940,2660,3820,2380,2980,3460
1920,1960,1920,4080,3800,4240
3260,4260,1960,13760,7280,4420
1800,3880,4120,5040,3760,4740
6960,3780,8320,20600,15020,11060
1560,2160,1920,8720,3720,7980
2560,2740,1960,24200,10640,9260
2700,3240,3700,9820,8580,2840
1480,2980,2640,3040,17120,9620
1920,3580,3520,5600,3220,4920
2040,2760,2900,5240,3340,15760
1440,3360,1560,8060,4420,5860
1560,5040,6020,3240,3680,11920
1680,4860,3000,16800,9600,5380
4380,3460,2780,18140,9140,4060
2040,1800,8000,10060,5080,7080
1800,4280,1940,3120,8960,8460
2160,3000,15000,3880,9580,2960
1440,2640,2040,4720,2760,6980
1560,3220,10200,7060,2980,4000
1680,1680,2040,8420,1680,3780
2400,7360,1680,11340,13040,4880
1440,1800,2320,2760,2860,3920
1560,1440,2940,3680,9680,3780
1920,9780,14940,4700,2080,15480
1480,2360,1200,4100,2080,1920
1320,3700,2040,13460,3820,2180
1440,3860,4620,7120,4120,15960
2860,4920,4060,2920,14760,3760
1320,2520,1560,6000,3360,2900
2740,4740,3020,12120,4720,7260
2720,2400,1920,16340,5060,4440
2300,3440,2820,5300,8680,9680
1440,4900,3120,2960,7380,3340
2600,11400,2500,9600,9040,9900
2740,7920,3680,8980,3260,7860
2900,9660,7540,3200,10740,6940
4000,5300,3060,3020,4180,3220
1440,2540,3700,10360,6920,10980
2760,5420,3340,5020,4060,9420
3620,5840,2280,5140,6080,10260
1800,2040,1920,8540,15020,8320
2280,2760,2740,5620,4200,27260
1840,2520,2340,8420,4000,2040
2420,3320,2520,8180,4220,4300
1680,3000,2540,6100,5180,5120
1320,3120,1800,13620,22580,24080
1680,2160,2200,7080,2660,4880
1800,1800,3520,2560,2880,1680
1920,2520,2400,5280,9380,3740
1320,2760,1560,3120,3340,2620
1320,2040,3520,3360,10840,4200
1320,1680,7960,7680,10000,13620
1680,3600,4600,4760,21360,3380
1560,2160,4500,1440,8280,10420
2760,3460,3700,4460,4640,4080
1560,1680,14040,8100,9580,12040
1680,2780,1960,3960,8480,15240
3520,2080,4280,6480,4180,6240
2680,3500,2280,7540,9740,4160
1680,2900,3100,8180,4480,4940
2280,2880,4200,16760,8620,26900
1520,4260,2980,8540,9420,11060
1560,7160,13700,7440,17180,12880
1840,3000,1920,17440,3120,2160
4060,4780,7980,3340,12060,7240
1560,2040,1680,3000,9560,3860
1560,1440,2880,2880,2880,4580
12760,9440,13880,21040,20080,20500
1680,2860,2900,5620,17040,1920
2160,4020,2260,4180,3820,19660
1560,21200,3000,6880,6120,8760
2600,3320,2500,8300,2320,9160
4240,2380,2060,8340,3600,2280
1560,2520,3140,3800,5580,11040
1440,5540,9280,3820,7060,18000
2180,4000,2920,4040,18040,9840
2020,1840,2420,3160,4860,3240
1320,4520,5220,15740,4580,14180
1560,2040,5780,3960,3220,4080
1800,6100,2180,4140,3700,2620
1440,4300,9320,2980,7920,14240
1680,4640,2280,10080,11720,21600
2160,2760,4340,4720,2620,15780
2520,2160,2840,21140,3340,19620
2040,5580,6320,2560,25020,3220
1440,2820,3240,3320,4760,2520
1800,5000,2520,3240,4980,3080
1560,2880,2600,2740,8540,3720
1560,4160,1440,4480,3240,2500
2620,3440,7420,8300,10440,4440
1800,3720,2040,7200,4500,6280
