random,greedy,offline,mcts_base,mcts_fixed_depth,combined
1960,1560,1800,3500,9600,4080
2060,1920,2400,3840,1560,3040
2620,4760,8340,12660,4400,5020
2800,2920,3640,3580,5920,4720
7560,4240,4900,2740,9860,3100
2780,3180,7840,4740,2780,7920
1920,1440,3640,21440,2760,4100
1920,2400,8040,5940,14240,9080
3820,4440,5580,21520,7640,7920
1940,2280,2880,9840,5240,5160
1560,3900,2540,11100,2040,12160
2160,5420,2620,17440,2980,5220
2300,1920,1560,4700,4020,5160
1680,2040,1920,2820,1320,2520
7240,3800,2740,6760,5240,13240
2900,2860,2980,19300,5560,4060
3100,3500,2160,14540,4260,4580
1680,3000,2540,6440,9680,4020
1200,2880,1440,3840,10720,2720
2740,2200,3840,24200,6220,9820
3200,4100,16000,5820,4220,16840
1560,2040,1960,9260,2400,4660
2400,2280,3540,11920,7400,12080
1320,4080,2300,9820,8340,9360
1200,5760,3840,7240,7820,2040
1680,2040,7400,4640,2180,1440
1560,2040,2960,11460,14120,8540
1440,3100,2880,8540,2980,4160
2380,4420,7160,3640,10100,4620
1440,5640,1960,3920,4020,8840
1200,2880,1200,4760,15020,9560
2280,2920,9620,4760,4760,11040
1960,5200,3680,5240,5780,8100
1920,5460,2280,3820,6240,13540
14580,3400,2160,4700,11140,2920
3980,5860,4260,6500,4740,10680
3160,4920,3280,10180,12820,11360
3260,3240,2880,6960,4540,9200
3340,3400,4600,8580,4960,4460
1560,2400,3000,3060,8980,8880
1680,2740,1720,3960,16600,5080
1680,6040,3800,4000,3360,5500
1560,2980,4200,13140,5120,2160
2520,3380,1680,3160,11980,3020
3480,2520,2500,4820,11060,6260
1920,2620,2760,10020,12500,6480
1680,1680,3360,1680,20960,2740
2680,2520,3100,4560,3340,8440
1560,5160,1920,11920,3580,20160
1920,3380,2040,16940,10520,15720
2200,2660,1440,3600,15340,4040
1200,3440,20000,7080,4280,3440
3280,1760,2420,10780,9340,26560
2640,4520,2040,7460,3220,6040
2640,9680,14160,9640,15800,11020
5140,7780,5640,5400,8920,5040
1560,2500,1680,10440,5280,3780
1680,2520,8720,19760,7080,22120
